Item,Designator,DigiKey,Cost,Number,Total
Capacitor 10uF,C4,1276-1096-1-ND,0.09,1,0.09
Capacitor 100nF,"C5, C3",1276-6840-1-ND,0.09,2,0.18
Capacitor 22uF,"C6, C7",1276-6526-1-ND,0.3,2,0.6
Resistor 31k6,R3,311-31.6KCRCT-ND,0.09,1,0.09
Resistor 10k,R5,311-10.0KCRCT-ND,0.09,1,0.09
Inductor 2.2uH,L1,732-9690-1-ND,0.49,1,0.49
Regulator AP62250,U2,31-AP62250WU-7CT-ND,0.3,1,0.3
Capacitor 10uF,C21,1276-1096-1-ND,0.09,1,0.09
Capacitor 100nF,"C22, C20",1276-6840-1-ND,0.09,2,0.18
Capacitor 22uF,"C23, C24",1276-6526-1-ND,0.3,2,0.6
Resistor 31k6,R19,311-31.6KCRCT-ND,0.09,1,0.09
Resistor 10k,"R21, R20",311-10.0KCRCT-ND,0.09,2,0.18
Inductor 2.2uH,L3,732-9690-1-ND,0.49,1,0.49
Regulator AP62250,U5,31-AP62250WU-7CT-ND,0.3,1,0.3
Barrel Jack,J3,CP-036AHPJCT-ND,1.14,1,1.14
Barrel Plug,X,CP3-1000-ND,1.13,1,1.13
3A Fuse,F1,MFU08053.00CT-ND,0.56,1,0.56
E-Capacitor 100uF,C9,732-8254-1-ND,0.3,1,0.3
Capacitor 100nF,C10,1276-6840-1-ND,0.09,1,0.09
Resistor 28k7,R11,311-28.7KCRCT-ND,0.09,1,0.09
Capacitor 39pF,C11,13-CC0805JRNPOBBN390CT-ND,0.11,1,0.11
Capacitor 330pF,C8,311-3287-1-ND,0.13,1,0.13
Capacitor 10pF,C12,311-4254-1-ND,0.18,1,0.18
Resistor 340k,R14,311-340KCRCT-ND,0.09,1,0.09
Resistor 100R,R8,311-100CRCT-ND,0.09,1,0.09
Resistor 0.1R,R12,311-0.1LUCT-ND,0.39,1,0.39
Resistor 590k,R6,311-590KCRCT-ND,0.09,1,0.09
Resistor 10k,R13,311-10.0KCRCT-ND,0.09,1,0.09
Regulator LM3478,U4,296-38111-1-ND,2.41,1,2.41
Inductor 220uH,L2,732-1696-1-ND,2.36,1,2.36
Diode SK220A,D1,1655-SK220ACT-ND,0.41,1,0.41
Mosfet NCH,Q1,497-8774-1-ND,2.69,1,2.69
E-Capacitor 47uF,"C13, C14, C15",399-14797-1-ND,0.68,3,2.04
Capacitor 1uF,"C1, C2",1276-1066-1-ND,0.09,2,0.18
Resistor 220k,R4,311-220KARCT-ND,0.09,1,0.09
Resistor 5K6,R1,311-5.6KARCT-ND,0.09,1,0.09
Resistor 56R,R2,311-56ARCT-ND,0.09,1,0.09
Regulator,U1,LR12LG-GCT-ND,1.54,1,1.54
Male connector,"J1, J2",952-3265-ND,0.61,2,1.22
Resistor 200R,"R15, R16, R17, R18",311-200CRCT-ND,0.09,4,0.36
Resistor 100k,R7,311-100KCRCT-ND,0.09,1,0.09
Resistor 10R,"R9, R10",13-AC0805FR-7W10RLCT-ND,0.09,2,0.18
Capacitor 100nF,"C16, C19, C17, C18",1276-6840-1-ND,0.09,4,0.36
Diode BZT52B3V3,"D3, D4, D5, D6",BZT52B3V3RHGCT-ND,0.19,4,0.76
Zener Diode,D2,MMSZ5222BT1GOSCT-ND,0.21,1,0.21
