"Source:","C:\Users\remi.decoster\OneDrive - Flanders Make vzw\Documents\GitHub\PCBs\VFD Display\vfd_display\vfd_display.kicad_sch"
"Date:","22/04/2024 00:50:16"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key","DigiKey"
"","","C1","39pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C2","330pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C4","100uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_6.3x7.7","~","732-8254-1-ND",""
"","","C5","10pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C6","47uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_10x10.5","~","732-865060857005CT-ND",""
"","","C7","47uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_10x10.5","~","732-865060857005CT-ND",""
"","","C8","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C9","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C10","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C11","47uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_10x10.5","~","732-865060857005CT-ND",""
"","","C12","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C14","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C24","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C25","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C26","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C27","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C28","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C29","15pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","C30","47uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"","","D1","SK220A","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~","1655-SK220ACT-ND",""
"","","D4","BZT52B3V3","Device:D_Zener","Diode_SMD:D_SOD-123F","~","",""
"","","D5","BZT52B3V3","Device:D_Zener","Diode_SMD:D_SOD-123F","~","",""
"","","D6","BZT52B3V3","Device:D_Zener","Diode_SMD:D_SOD-123F","~","",""
"","","D7","BZT52B3V3","Device:D_Zener","Diode_SMD:D_SOD-123F","~","",""
"","","D8","MMSZ5222BT1G","Device:D_Zener","Diode_SMD:D_SOD-123","~","MMSZ5222BT1GOSCT-ND",""
"","","F1","MFU0805FF03000P100","Device:Fuse","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"","","J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~","455-S4B-PH-SM4-TBCT-ND",""
"","","J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~","455-S4B-PH-SM4-TBCT-ND",""
"","","J4","PJ-036AH-SMT-TR","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal","~","",""
"","","L1","220uH","Device:L","Inductor_SMD:L_Wuerth_WE-PD-Typ-LS_Handsoldering","~","","732-1696-1-ND"
"","","L2","2.2uH","Device:L","Inductor_SMD:L_Bourns_SRR1260","~","","SRR1260-2R2YCT-ND"
"","","Q1","STD16N65M5","Device:Q_NMOS_GDS","Remi_Footprints:STD16N65M5","~","?",""
"","","R1","340k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R2","28k7","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R3","100R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R4","100m","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R5","590k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R6","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R7","220k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R8","5K6","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R9","56R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R10","100k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R11","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R12","73k2","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R13","68R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R17","100k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R19","10R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R20","10R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R21","4 X 200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R22","200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R23","200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R24","200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","R25","22k1","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"","","U1","LM3478","Regulator_Controller:LM3478MA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/gpn/lm3478","296-38111-1-ND",""
"","","U2","LR12LG-G","Remi_Symbols:LR12","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","LR12LG-GCT-ND",""
"","","U3","TLP170AM","Remi_Symbols:TLP170AM","Remi_Footprints:Toshiba-11-4M1S","","264-TLP170AM(TPLECT-ND",""
"","","U5","GP1294AI","Remi_Symbols:GP1294AI","Remi_Footprints:VFD_GP1294AI","","",""
"","","U6","TPS56628","Remi_Symbols:TPS56628","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digi-Key","DigiKey"
"1","1","C1","39pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"2","1","C2","330pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"3","7","C3, C8, C13, C24, C25, C27, C28","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"4","1","C4","100uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_6.3x7.7","~","732-8254-1-ND",""
"5","1","C5","10pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"6","3","C6, C7, C11","47uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_10x10.5","~","732-865060857005CT-ND",""
"7","3","C9, C10, C12","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"8","2","C14, C26","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"9","1","C29","15pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"10","1","C30","47uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","",""
"11","1","D1","SK220A","Device:D_Schottky","Diode_SMD:D_SMA_Handsoldering","~","1655-SK220ACT-ND",""
"12","4","D4, D5, D6, D7","BZT52B3V3","Device:D_Zener","Diode_SMD:D_SOD-123F","~","",""
"13","1","D8","MMSZ5222BT1G","Device:D_Zener","Diode_SMD:D_SOD-123","~","MMSZ5222BT1GOSCT-ND",""
"14","1","F1","MFU0805FF03000P100","Device:Fuse","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","",""
"15","2","J1, J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","~","455-S4B-PH-SM4-TBCT-ND",""
"16","1","J4","PJ-036AH-SMT-TR","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-036AH-SMT_Horizontal","~","",""
"17","1","L1","220uH","Device:L","Inductor_SMD:L_Wuerth_WE-PD-Typ-LS_Handsoldering","~","","732-1696-1-ND"
"18","1","L2","2.2uH","Device:L","Inductor_SMD:L_Bourns_SRR1260","~","","SRR1260-2R2YCT-ND"
"19","1","Q1","STD16N65M5","Device:Q_NMOS_GDS","Remi_Footprints:STD16N65M5","~","?",""
"20","1","R1","340k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"21","1","R2","28k7","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"22","1","R3","100R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"23","1","R4","100m","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"24","1","R5","590k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"25","2","R6, R11","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"26","1","R7","220k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"27","1","R8","5K6","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"28","1","R9","56R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"29","2","R10, R17","100k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"30","1","R12","73k2","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"31","1","R13","68R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"32","2","R19, R20","10R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"33","1","R21","4 X 200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"34","3","R22, R23, R24","200R","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"35","1","R25","22k1","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"36","1","U1","LM3478","Regulator_Controller:LM3478MA","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/gpn/lm3478","296-38111-1-ND",""
"37","1","U2","LR12LG-G","Remi_Symbols:LR12","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","LR12LG-GCT-ND",""
"38","1","U3","TLP170AM","Remi_Symbols:TLP170AM","Remi_Footprints:Toshiba-11-4M1S","","264-TLP170AM(TPLECT-ND",""
"39","1","U5","GP1294AI","Remi_Symbols:GP1294AI","Remi_Footprints:VFD_GP1294AI","","",""
"40","1","U6","TPS56628","Remi_Symbols:TPS56628","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","",""
